Benchmark                     ,    Min(us)    ,    Avg(us)    ,    Max(us)    
ecmult_multi_6655p_g          ,     4.48      ,     4.50      ,     4.58   
ecmult_multi_7167p_g          ,     4.45      ,     4.46      ,     4.47   
ecmult_multi_7679p_g          ,     4.42      ,     4.43      ,     4.44   
ecmult_multi_8191p_g          ,     4.40      ,     4.41      ,     4.43   
ecmult_multi_9215p_g          ,     4.34      ,     4.35      ,     4.37   
ecmult_multi_10239p_g         ,     4.26      ,     4.28      ,     4.30   
ecmult_multi_11263p_g         ,     4.22      ,     4.23      ,     4.24   
ecmult_multi_12287p_g         ,     4.18      ,     4.19      ,     4.21   
ecmult_multi_13311p_g         ,     4.15      ,     4.16      ,     4.17   
ecmult_multi_14335p_g         ,     4.13      ,     4.14      ,     4.15   
ecmult_multi_15359p_g         ,     4.09      ,     4.11      ,     4.12   
ecmult_multi_16383p_g         ,     4.08      ,     4.09      ,     4.10   
ecmult_multi_18431p_g         ,     4.01      ,     4.03      ,     4.04   
ecmult_multi_20479p_g         ,     3.96      ,     3.97      ,     4.00   
ecmult_multi_22527p_g         ,     3.92      ,     3.93      ,     3.95   
ecmult_multi_24575p_g         ,     3.88      ,     3.89      ,     3.91   
ecmult_multi_26623p_g         ,     3.86      ,     3.87      ,     3.88   
ecmult_multi_28671p_g         ,     3.81      ,     3.84      ,     3.85   
ecmult_multi_30719p_g         ,     3.81      ,     3.81      ,     3.84   
ecmult_multi_32767p_g         ,     3.78      ,     3.80      ,     3.81   
